node_id,name,omic_type
914,ARHGAP31,mRNA
915,ARHGAP32,mRNA
916,ARHGAP33,mRNA
917,ARHGAP36,mRNA
918,ARHGAP39,mRNA
919,ARHGAP42,mRNA
920,ARHGAP4,mRNA
921,ARHGAP5,mRNA
922,ARHGAP6,mRNA
923,ARHGAP8,mRNA
924,ARHGAP9,mRNA
925,ARHGDIA,mRNA
926,ARHGDIB,mRNA
927,ARHGDIG,mRNA
928,ARHGEF10L,mRNA
929,ARHGEF10,mRNA
930,ARHGEF11,mRNA
931,ARHGEF12,mRNA
932,ARHGEF15,mRNA
933,ARHGEF16,mRNA
934,ARHGEF17,mRNA
935,ARHGEF18,mRNA
936,ARHGEF19,mRNA
937,ARHGEF1,mRNA
938,ARHGEF2,mRNA
939,ARHGEF33,mRNA
940,ARHGEF35,mRNA
941,ARHGEF37,mRNA
942,ARHGEF38,mRNA
943,ARHGEF3,mRNA
944,ARHGEF4,mRNA
945,ARHGEF5,mRNA
946,ARHGEF6,mRNA
947,ARHGEF7,mRNA
948,ARHGEF9,mRNA
949,ARID1A,mRNA
950,ARID1B,mRNA
951,ARID2,mRNA
952,ARID3A,mRNA
953,ARID3B,mRNA
954,ARID3C,mRNA
955,ARID4A,mRNA
956,ARID4B,mRNA
957,ARID5A,mRNA
958,ARID5B,mRNA
959,ARIH1,mRNA
960,ARIH2,mRNA
961,ARL10,mRNA
962,ARL11,mRNA
963,ARL13A,mRNA
964,ARL13B,mRNA
965,ARL14,mRNA
966,ARL15,mRNA
967,ARL16,mRNA
968,ARL17A,mRNA
969,ARL17B,mRNA
970,ARL1,mRNA
971,ARL2BP,mRNA
972,ARL2,mRNA
973,ARL3,mRNA
974,ARL4A,mRNA
975,ARL4C,mRNA
976,ARL4D,mRNA
977,ARL5A,mRNA
978,ARL5B,mRNA
979,ARL5C,mRNA
980,ARL6IP1,mRNA
981,ARL6IP4,mRNA
982,ARL6IP5,mRNA
983,ARL6IP6,mRNA
984,ARL6,mRNA
985,ARL8A,mRNA
986,ARL8B,mRNA
987,ARL9,mRNA
988,ARMC10,mRNA
989,ARMC1,mRNA
990,ARMC2,mRNA
991,ARMC3,mRNA
992,ARMC4,mRNA
993,ARMC5,mRNA
994,ARMC6,mRNA
995,ARMC7,mRNA
996,ARMC8,mRNA
997,ARMC9,mRNA
998,ARMCX1,mRNA
999,ARMCX2,mRNA
1000,ARMCX3,mRNA
1001,ARMCX5,mRNA
1002,ARMCX6,mRNA
1003,ARMS2,mRNA
1004,ARNT2,mRNA
1005,ARNTL2,mRNA
1006,ARNTL,mRNA
1007,ARNT,mRNA
1008,ARPC1A,mRNA
1009,ARPC1B,mRNA
1010,ARPC2,mRNA
1011,ARPC3,mRNA
1012,ARPC4,mRNA
1013,ARPC5L,mRNA
1014,ARPC5,mRNA
1015,ARPM1,mRNA
1016,ARPP19,mRNA
1017,ARPP21,mRNA
1018,ARR3,mRNA
1019,ARRB1,mRNA
1020,ARRB2,mRNA
1021,ARRDC1,mRNA
1022,ARRDC2,mRNA
1023,ARRDC3,mRNA
1024,ARRDC4,mRNA
1025,ARRDC5,mRNA
1026,ARSA,mRNA
1027,ARSB,mRNA
1028,ARSD,mRNA
1029,ARSE,mRNA
1030,ARSF,mRNA
1031,ARSG,mRNA
1032,ARSH,mRNA
1033,ARSI,mRNA
1034,ARSJ,mRNA
1035,ARSK,mRNA
1036,ART1,mRNA
1037,ART3,mRNA
1038,ART4,mRNA
1039,ART5,mRNA
1040,ARTN,mRNA
1041,ARV1,mRNA
1042,ARVCF,mRNA
1043,ARX,mRNA
1044,AR,mRNA
1045,AS3MT,mRNA
1046,ASAH1,mRNA
1047,ASAH2B,mRNA
1048,ASAH2,mRNA
1049,ASAM,mRNA
1050,ASAP1IT1,mRNA
1051,ASAP1,mRNA
